IOC,Type,Source,Description,Criticality,ConnectionType,USOM_ID,Date,AddedAt_UTC
36.134.69.15,ip,SO,CA,8,OT,1117424,2026-05-13 13:24:22.33231,2026-05-21 11:13:29
136.0.8.48,ip,SB,MC,8,OT,1117368,2026-05-13 10:26:24.407681,2026-05-21 11:13:29
149.104.66.84,ip,SB,MC,8,OT,1117366,2026-05-13 10:26:24.407681,2026-05-21 11:13:29
67.206.213.86,ip,SB,MC,8,OT,1117364,2026-05-13 10:26:24.407681,2026-05-21 11:13:29
142.248.80.31,ip,SB,CA,8,OT,1117356,2026-05-13 07:50:45.149796,2026-05-21 11:13:29
142.248.80.144,ip,SB,MI,8,OT,1117332,2026-05-13 06:44:12.659218,2026-05-21 11:13:29
83.142.209.194,ip,SB,MC,8,OT,1116782,2026-05-12 15:09:35.092653,2026-05-21 11:13:29
165.22.184.26,ip,SB,MC,8,OT,1116780,2026-05-12 14:33:16.389984,2026-05-21 11:13:29
62.171.185.97,ip,SB,MC,8,OT,1116778,2026-05-12 14:33:16.389984,2026-05-21 11:13:29
155.133.27.198,ip,SB,MC,8,OT,1116776,2026-05-12 14:33:16.389984,2026-05-21 11:13:29
209.99.185.223,ip,SB,MC,8,OT,1116772,2026-05-12 14:32:24.410166,2026-05-21 11:13:29
167.172.38.123,ip,SB,MC,8,OT,1116770,2026-05-12 14:32:24.410166,2026-05-21 11:13:29
209.99.185.221,ip,SB,MC,8,OT,1116768,2026-05-12 14:32:24.410166,2026-05-21 11:13:29
159.65.202.204,ip,SB,MC,8,OT,1116764,2026-05-12 14:32:24.410166,2026-05-21 11:13:29
109.244.69.102,ip,SO,CA,8,OT,1116660,2026-05-12 09:23:09.578615,2026-05-21 11:13:29
118.71.137.220,ip,SO,CA,8,OT,1116658,2026-05-12 09:23:09.578615,2026-05-21 11:13:29
116.99.173.50,ip,SO,CA,8,OT,1116656,2026-05-12 09:23:09.578615,2026-05-21 11:13:29
116.99.175.142,ip,SO,CA,8,OT,1116654,2026-05-12 09:23:09.578615,2026-05-21 11:13:29
27.79.2.167,ip,SO,CA,8,OT,1116652,2026-05-12 09:23:09.578615,2026-05-21 11:13:29
121.128.173.237,ip,SO,CA,8,OT,1116650,2026-05-12 09:23:09.578615,2026-05-21 11:13:29
113.0.152.164,ip,SO,CA,8,OT,1116648,2026-05-12 09:23:09.578615,2026-05-21 11:13:29
41.63.63.134,ip,SO,CA,8,OT,1116646,2026-05-12 09:23:09.578615,2026-05-21 11:13:29
43.99.90.138,ip,SO,CA,8,OT,1116644,2026-05-12 09:23:09.578615,2026-05-21 11:13:29
114.216.108.7,ip,SO,CA,8,OT,1116642,2026-05-12 09:23:09.578615,2026-05-21 11:13:29
192.42.116.107,ip,SO,CA,8,OT,1116640,2026-05-12 09:23:09.578615,2026-05-21 11:13:29
154.209.4.208,ip,SO,CA,8,OT,1116638,2026-05-12 09:23:09.578615,2026-05-21 11:13:29
152.32.192.176,ip,SO,CA,8,OT,1116636,2026-05-12 09:23:09.578615,2026-05-21 11:13:29
