IOC,Type,Source,Description,Criticality,ConnectionType,USOM_ID,Date,AddedAt_UTC
vuhugesadesde.lat,domain,IH,BP,4,PH,1124214,2026-06-07 18:14:16.108063,2026-06-07 20:02:50
bbvafirsatlarim29922922.duckdns.org,domain,IH,BP,4,PH,1124212,2026-06-07 17:58:44.895267,2026-06-07 20:02:50
istanbul-donut.xyz,domain,IH,BP,4,PH,1124210,2026-06-07 17:52:30.29169,2026-06-07 20:02:50
karca.shop,domain,IH,BP,4,PH,1124208,2026-06-07 17:51:54.694415,2026-06-07 20:02:50
razer-turkiye.com,domain,IH,BP,4,PH,1124206,2026-06-07 17:26:41.753285,2026-06-07 20:02:50
maximumgenc.online,domain,IH,BP,4,PH,1124204,2026-06-07 17:23:14.811414,2026-06-07 20:02:50
trpttgovbw.cc,domain,IH,BP,4,PH,1124202,2026-06-07 16:33:56.602024,2026-06-07 20:02:50
hukugufuerete.lol,domain,IH,BP,4,PH,1124200,2026-06-07 16:01:16.230674,2026-06-07 20:02:50
istanbulbizimla.xyz,domain,IH,BP,4,PH,1124198,2026-06-07 15:49:12.80479,2026-06-07 20:02:50
istkrtttts.click,domain,IH,BP,4,PH,1124196,2026-06-07 15:49:01.898578,2026-06-07 20:02:50
istanbul-turat.xyz,domain,IH,BP,4,PH,1124194,2026-06-07 15:48:50.03382,2026-06-07 20:02:50
gorantisidi232323.duckdns.org,domain,IH,BP,4,PH,1124192,2026-06-07 15:48:37.625967,2026-06-07 20:02:50
vayvay.click,domain,IH,BP,4,PH,1124190,2026-06-07 15:03:59.20572,2026-06-07 20:02:50
sponsorlu23942394135.click,domain,IH,BP,4,PH,1124188,2026-06-07 14:20:52.911607,2026-06-07 15:13:43
bvbvbva128282828992.duckdns.org,domain,IH,BP,4,PH,1124186,2026-06-07 14:08:58.515588,2026-06-07 15:13:43
istanbulunhementaris.shop,domain,IH,BP,4,PH,1124184,2026-06-07 14:08:32.119702,2026-06-07 15:13:43
ykbbilgilendirme.click,domain,IH,BP,4,PH,1124182,2026-06-07 14:08:20.712506,2026-06-07 15:13:43
karisik.click,domain,IH,BP,4,PH,1124180,2026-06-07 13:48:07.613787,2026-06-07 15:13:43
vuyhujuklederete.lat,domain,IH,BP,4,PH,1124178,2026-06-07 13:47:40.144187,2026-06-07 15:13:43
urunler-kampanyali.duckdns.org,domain,IH,BP,4,PH,1124176,2026-06-07 13:43:40.216948,2026-06-07 15:13:43
istbelgimcan.xyz,domain,IH,BP,4,PH,1124174,2026-06-07 13:43:25.421616,2026-06-07 15:13:43
453645765.net,domain,IH,BP,4,PH,1124172,2026-06-07 13:28:04.585794,2026-06-07 15:13:43
a1o1hazirankampanya.blogspot.com,domain,IH,BP,4,PH,1124170,2026-06-07 13:27:47.731069,2026-06-07 15:13:43
istmstets.click,domain,IH,BP,4,PH,1124168,2026-06-07 12:39:48.016394,2026-06-07 15:13:43
guncelgidisbilglisi.sbs,domain,IH,PH,4,PH,1124166,2026-06-07 12:25:56.375619,2026-06-07 15:13:43
girssonnline-sorgusualekrani.sbs,domain,IH,BP,4,PH,1124164,2026-06-07 12:22:00.055121,2026-06-07 15:13:43
gunbirlikveberaberlikgunudur.sbs,domain,IH,BP,4,PH,1124162,2026-06-07 11:26:37.595411,2026-06-07 15:13:43
